,zip_code,latitude,longitude
193,60410,41.43313,-88.199325
194,60411,41.811929,-87.68732
195,60412,41.811929,-87.68732
196,60415,41.811929,-87.68732
197,60416,41.284033,-88.37481899999999
198,60417,41.426684,-87.621223
199,60419,41.811929,-87.68732
200,60420,41.059551,-88.417086
201,60421,41.44288,-88.090588
202,60422,41.811929,-87.68732
203,60423,41.451744,-87.896109
204,60424,41.1775,-88.338018
205,60425,41.811929,-87.68732
206,60426,41.811929,-87.68732
207,60429,41.811929,-87.68732
208,60430,41.811929,-87.68732
209,60431,41.471206,-87.93909000000002
210,60432,41.54273,-88.045146
211,60433,41.47626500000001,-87.882249
212,60434,41.52543,-88.08420799999998
213,60435,41.468729,-87.938034
214,60436,41.48843,-88.15716
215,60437,41.188078,-88.47240699999998
216,60438,41.811929,-87.68732
217,60439,41.707431,-87.97556800000002
218,60440,41.623336,-88.022464
219,60441,41.552615,-88.03126800000003
220,60442,41.491903,-87.979113
221,60443,41.811929,-87.68732
222,60444,41.226425,-88.421748
223,60445,41.811929,-87.68732
224,60446,41.64038,-88.069621
225,60447,41.429869,-88.422884
226,60448,41.426002,-88.00676700000002
227,60449,41.412269,-87.786645
228,60450,41.337433,-88.430183
229,60451,41.51080200000001,-87.96180799999998
230,60452,41.811929,-87.68732
231,60453,41.811929,-87.68732
232,60454,41.811929,-87.68732
233,60455,41.811929,-87.68732
234,60456,41.811929,-87.68732
235,60457,41.811929,-87.68732
236,60458,41.811929,-87.68732
237,60459,41.811929,-87.68732
238,60460,40.998811,-88.538538
239,60461,41.811929,-87.68732
240,60462,41.811929,-87.68732
241,60463,41.811929,-87.68732
242,60464,41.811929,-87.68732
243,60465,41.811929,-87.68732
244,60466,41.811929,-87.68732
245,60467,41.811929,-87.68732
246,60468,41.346316,-87.772133
247,60469,41.811929,-87.68732
248,60470,41.172532,-88.66375500000002
249,60471,41.811929,-87.68732
250,60472,41.95273,-87.878888
251,60473,41.811929,-87.68732
252,60474,41.171883,-88.267338
253,60475,41.811929,-87.68732
254,60476,41.811929,-87.68732
255,60477,42.143475,-88.026517
256,60478,41.811929,-87.68732
257,60479,41.247346,-88.50558199999998
258,60480,41.811929,-87.68732
259,60481,41.35934,-88.084716
260,60482,41.811929,-87.68732
261,60490,41.679041,-88.140332
262,60499,41.811929,-87.68732
263,60501,41.811929,-87.68732
264,60504,41.768399,-88.136616
265,60505,41.765478,-88.405446
266,60506,41.79083,-88.416837
267,60507,41.936977,-88.420178
268,60510,41.828292,-88.40733399999998
269,60511,41.764324,-88.54574000000002
270,60512,41.698414,-88.42787299999998
271,60513,41.811929,-87.68732
272,60514,41.774295,-87.966094
273,60515,41.796279,-88.01226700000002
274,60516,41.75231,-88.02179699999998
275,60517,41.736788,-88.041731
276,60518,41.549922,-88.93598100000001
277,60519,41.777235,-88.246193
278,60520,41.740713,-88.686052
279,60521,41.78213,-87.96684499999998
280,60522,41.839679,-88.088716
281,60523,41.83713,-87.963759
282,60525,41.811929,-87.68732
283,60526,41.811929,-87.68732
284,60527,41.839679,-88.088716
285,60530,41.784398,-88.97506
286,60531,41.47805,-88.7265
287,60532,41.79818,-88.03771400000002
288,60534,41.811929,-87.68732
289,60536,41.590315,-88.562023
290,60537,41.561386,-88.59747
291,60538,41.643752,-88.457951
292,60539,41.823928,-88.334023
293,60540,41.759029,-88.152381
294,60541,41.540661,-88.492909
