human,human,0
human,goat,0.1254
human,gallus,0.4844
human,opossum,0.3571
human,lemur,0.0425
human,mouse,0.0594
human,rabbit,0.0108
human,rat,0.0292
human,bovine,0.0589
human,gorilla,0.0002
human,chimpanzee,0.0117
goat,goat,0
goat,gallus,0.1479
goat,opossum,0.1584
goat,lemur,0.0387
goat,mouse,0.2746
goat,rabbit,0.0789
goat,rat,0.1754
goat,bovine,0.0601
goat,gorilla,0.1172
goat,chimpanzee,0.083
gallus,gallus,0
gallus,opossum,0.1601
gallus,lemur,0.2749
gallus,mouse,0.7214
gallus,rabbit,0.3785
gallus,rat,0.5838
gallus,bovine,0.3635
gallus,gorilla,0.4681
gallus,chimpanzee,0.3797
opossum,opossum,0
opossum,lemur,0.2023
opossum,mouse,0.5831
opossum,rabbit,0.2969
opossum,rat,0.3914
opossum,bovine,0.2428
opossum,gorilla,0.345
opossum,chimpanzee,0.2865
lemur,lemur,0
lemur,mouse,0.1815
lemur,rabbit,0.0137
lemur,rat,0.0899
lemur,bovine,0.0537
lemur,gorilla,0.0368
lemur,chimpanzee,0.0131
mouse,mouse,0
mouse,rabbit,0.1103
mouse,rat,0.0559
mouse,bovine,0.1289
mouse,gorilla,0.0663
mouse,chimpanzee,0.1167
rabbit,rabbit,0
rabbit,rat,0.0568
rabbit,bovine,0.0575
rabbit,gorilla,0.008
rabbit,chimpanzee,0.0008
rat,rat,0
rat,bovine,0.0468
rat,gorilla,0.0316
rat,chimpanzee,0.0604
bovine,bovine,0
bovine,gorilla,0.057
bovine,chimpanzee,0.0641
gorilla,gorilla,0
gorilla,chimpanzee,0.0087
chimpanzee,chimpanzee,0
