Florida,Miami
Florida,UT Martin
Florida,Kentucky
Florida,Tennessee
Florida,Towson
Florida,Auburn
Florida,LSU
Florida,South Carolina
Florida,Georgia
Florida,Vanderbilt
Florida,Missouri
Florida,Florida State
Miami,North Carolina
Miami,Bethune-Cookman
Miami,Central Michigan
Miami,Virginia Tech
Miami,Virginia
Miami,Georgia Tech
Miami,Pittsburgh
Miami,Florida State
Miami,Louisville
Miami,Florida International
Miami,Duke
Hawai'i,Arizona
Hawai'i,Oregon State
Hawai'i,Washington
Hawai'i,Central Arkansas
Hawai'i,Nevada
Hawai'i,Boise State
Hawai'i,Air Force
Hawai'i,New Mexico
Hawai'i,Fresno State
Hawai'i,San José State
Hawai'i,UNLV
Hawai'i,San Diego State
Hawai'i,Army
Arizona,Northern Arizona
Arizona,Texas Tech
Arizona,UCLA
Arizona,Colorado
Arizona,Washington
Arizona,USC
Arizona,Stanford
Arizona,Oregon State
Arizona,Oregon
Arizona,Utah
Arizona,Arizona State
Bowling Green,Morgan State
Bowling Green,Kansas State
Bowling Green,Louisiana Tech
Bowling Green,Kent State
Bowling Green,Notre Dame
Bowling Green,Toledo
Bowling Green,Central Michigan
Bowling Green,Western Michigan
Bowling Green,Akron
Bowling Green,Miami (OH)
Bowling Green,Ohio
Bowling Green,Buffalo
Morgan State,Army
Buffalo,Robert Morris
Buffalo,Penn State
Buffalo,Liberty
Buffalo,Temple
Buffalo,Miami (OH)
Buffalo,Ohio
Buffalo,Akron
Buffalo,Central Michigan
Buffalo,Eastern Michigan
Buffalo,Kent State
Buffalo,Toledo
Cincinnati,UCLA
Cincinnati,Ohio State
Cincinnati,Miami (OH)
Cincinnati,Marshall
Cincinnati,UCF
Cincinnati,Houston
Cincinnati,Tulsa
Cincinnati,East Carolina
Cincinnati,Connecticut
Cincinnati,South Florida
Cincinnati,Temple
Cincinnati,Memphis
UCLA,San Diego State
UCLA,Oklahoma
UCLA,Washington State
UCLA,Oregon State
UCLA,Stanford
UCLA,Arizona State
UCLA,Colorado
